time,sfe,ssip,rfip,type
"11/23/2024, 02:39:10",-863,-783,1.0,1
"11/23/2024, 02:39:12",-899,-819,1.0,1
"11/23/2024, 02:39:15",-936,-856,1.0,1
"11/23/2024, 02:39:18",-973,-893,1.0,1
"11/23/2024, 02:39:22",-1009,-929,1.0,1
"11/23/2024, 02:39:25",-1046,-966,1.0,1
"11/23/2024, 02:39:28",-1083,-1003,1.0,1
"11/23/2024, 02:39:31",-1119,-1039,1.0,1
"11/23/2024, 02:39:34",-1156,-1076,1.0,1
"11/23/2024, 02:39:37",-1192,-1112,1.0,1
"11/23/2024, 02:39:40",-1229,-1149,1.0,1
"11/23/2024, 02:39:43",-1266,-1186,1.0,1
"11/23/2024, 02:39:46",-1302,-1222,1.0,1
"11/23/2024, 02:39:49",-1339,-1259,1.0,1
"11/23/2024, 02:39:52",-1376,-1296,1.0,1
"11/23/2024, 02:39:55",-1412,-1332,1.0,1
"11/23/2024, 02:39:58",-1449,-1369,1.0,1
"11/23/2024, 02:40:01",-1485,-1405,1.0,1
"11/23/2024, 02:40:04",-1522,-1442,1.0,1
"11/23/2024, 02:40:07",-1559,-1479,1.0,1
"11/23/2024, 02:40:10",-1590,-1510,1.0,1
"11/23/2024, 02:40:13",-1625,-1545,1.0,1
"11/23/2024, 02:40:16",-1662,-1582,1.0,1
"11/23/2024, 02:40:19",-1698,-1618,1.0,1
"11/23/2024, 02:40:22",-1735,-1655,1.0,1
"11/23/2024, 02:40:25",-1772,-1692,1.0,1
"11/23/2024, 02:40:28",-1808,-1728,1.0,1
"11/23/2024, 02:40:31",-1845,-1765,1.0,1
"11/23/2024, 02:40:34",-1881,-1801,1.0,1
"11/23/2024, 02:40:37",-1918,-1838,1.0,1
"11/23/2024, 02:40:40",-1955,-1875,1.0,1
"11/23/2024, 02:40:43",-1991,-1911,1.0,1
"11/23/2024, 02:40:46",-2028,-1948,1.0,1
"11/23/2024, 02:40:49",-2064,-1984,1.0,1
"11/23/2024, 02:40:52",-2101,-2021,1.0,1
"11/23/2024, 02:40:55",-2138,-2058,1.0,1
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"12/14/2024, 05:33:24",1,0,1.0,1
"12/14/2024, 05:33:27",-10,-10,1.0,1
"12/14/2024, 05:33:30",-83,-83,1.0,1
"12/14/2024, 05:33:33",-120,-120,1.0,1
"12/14/2024, 05:33:36",-157,-157,1.0,1
"12/14/2024, 05:33:39",-193,-193,1.0,1
